player_id,season,name,firstname,lastname,nationality,photo,team,position,age,appearances,minutes,goals,assists,market_value_eur
1411,2023,H. Delcroix,Hannes,Delcroix,Belgium,https://media.api-sports.io/football/players/1411.png,Burnley,Defender,24,12,583,0,0,7800000.0
1422,2023,J. Doku,Jérémy Baffour,Doku,Belgium,https://media.api-sports.io/football/players/1422.png,Manchester City,Attacker,21,31,1599,3,8,17100000.0
1427,2023,A. Sambi Lokonga,Albert-Mboyo,Sambi Lokonga,Belgium,https://media.api-sports.io/football/players/1427.png,Arsenal,Midfielder,23,0,0,0,3,6200000.0
1438,2023,B. Leno,Bernd,Leno,Germany,https://media.api-sports.io/football/players/1438.png,Fulham,Goalkeeper,31,38,3420,0,0,7800000.0
1440,2023,R. Holding,Robert Samuel,Holding,England,https://media.api-sports.io/football/players/1440.png,Arsenal,Defender,27,0,0,0,0,2300000.0
1445,2023,K. Mavropanos,Konstantinos,Mavropanos,Greece,https://media.api-sports.io/football/players/1445.png,West Ham,Defender,25,19,1498,1,0,15100000.0
1452,2023,Mohamed Elneny,Mohamed Naser,Elsayed Elneny,Egypt,https://media.api-sports.io/football/players/1452.png,Arsenal,Midfielder,31,16,36,0,0,4400000.0
1455,2023,A. Iwobi,Alexander Chuka,Iwobi,Nigeria,https://media.api-sports.io/football/players/1455.png,Fulham / Everton,Attacker,27,32,2342,5,0,32000000.0
1460,2023,B. Saka,Bukayo Ayoyinka Temidayo,Saka,England,https://media.api-sports.io/football/players/1460.png,Arsenal,Attacker,21,35,2933,16,8,41800000.0
1463,2023,J. Willock,Joseph George,Willock,England,https://media.api-sports.io/football/players/1463.png,Newcastle,Midfielder,23,9,419,1,0,7500000.0
1468,2023,E. Nketiah,Edward,Keddar Nketiah,England,https://media.api-sports.io/football/players/1468.png,Arsenal,Attacker,24,27,1072,5,2,18300000.0
1469,2023,D. Welbeck,Daniel Nii,Tackie Mensah Welbeck,England,https://media.api-sports.io/football/players/1469.png,Brighton,Attacker,32,30,1703,5,1,19000000.0
1566,2023,Emerson Royal,Emerson Aparecido,Leite de Souza Júnior,Brazil,https://media.api-sports.io/football/players/1566.png,Tottenham,Defender,24,22,1153,1,0,12100000.0
1578,2023,G. Lo Celso,Giovani,Lo Celso,Argentina,https://media.api-sports.io/football/players/1578.png,Tottenham,Midfielder,27,22,495,2,2,23000000.0
1590,2023,José Sá,José Pedro,Malheiro de Sá,Portugal,https://media.api-sports.io/football/players/1590.png,Wolves,Goalkeeper,30,35,3038,0,1,6100000.0
1600,2023,K. Tsimikas,Konstantinos,Tsimikas,Greece,https://media.api-sports.io/football/players/1600.png,Liverpool,Defender,27,13,676,0,3,8000000.0
1605,2023,Daniel Podence,Daniel,Castelo Podence,Portugal,https://media.api-sports.io/football/players/1605.png,Wolves,Attacker,27,0,0,0,0,8700000.0
1646,2023,Lucas Paquetá,Lucas,Tolentino Coelho de Lima,Brazil,https://media.api-sports.io/football/players/1646.png,West Ham,Midfielder,25,31,2638,4,6,53900000.0
1697,2023,Pablo Fornals,Pablo,Fornals Malla,Spain,https://media.api-sports.io/football/players/1697.png,West Ham,Midfielder,27,21,452,0,0,15700000.0
1746,2023,J. Worrall,Joseph Adrian,Worrall,England,https://media.api-sports.io/football/players/1746.png,Burnley,Defender,26,14,439,0,0,14700000.0
1853,2023,Bruno Jordão,Bruno André,Cavaco Jordão,Portugal,https://media.api-sports.io/football/players/1853.png,Wolves,Midfielder,24,0,0,0,0,5400000.0
1864,2023,Pedro Neto,Pedro,Lomba Neto,Portugal,https://media.api-sports.io/football/players/1864.png,Wolves,Attacker,23,20,1518,2,9,26900000.0
1934,2023,S. Berge,Sander Gard,Bolin Berge,Norway,https://media.api-sports.io/football/players/1934.png,Burnley,Midfielder,25,37,3005,1,2,21000000.0
1946,2023,L. Trossard,Leandro,Trossard,Belgium,https://media.api-sports.io/football/players/1946.png,Arsenal,Attacker,28,34,1647,12,1,28600000.0
1972,2023,L. Karius,Loris Sven,Karius,Germany,https://media.api-sports.io/football/players/1972.png,Newcastle,Goalkeeper,30,1,90,0,0,1900000.0
2056,2023,Pablo Sarabia,Pablo,Sarabia García,Spain,https://media.api-sports.io/football/players/2056.png,Wolves,Attacker,31,30,1757,4,7,15700000.0
2061,2023,Bryan Gil,Bryan,Gil Salvatierra,Spain,https://media.api-sports.io/football/players/2061.png,Tottenham,Attacker,22,11,202,0,0,5400000.0
2109,2023,S. Bastien,Samuel Christopher,Bastien Binda,Congo DR,https://media.api-sports.io/football/players/2109.png,Burnley,Midfielder,26,0,0,0,0,5700000.0
2165,2023,V. Mykolenko,Vitalii,Mykolenko,Ukraine,https://media.api-sports.io/football/players/2165.png,Everton,Defender,24,28,2472,2,0,13900000.0
2273,2023,Kepa,Kepa,Arrizabalaga Revuelta,Spain,https://media.api-sports.io/football/players/2273.png,Chelsea,Goalkeeper,28,0,0,0,0,1700000.0
2276,2023,J. Cumming,James Andrew,Cumming,England,https://media.api-sports.io/football/players/2276.png,Chelsea,Goalkeeper,23,0,0,0,0,1900000.0
2279,2023,E. Ampadu,Ethan Kwame Colm Raymond,Ampadu,Wales,https://media.api-sports.io/football/players/2279.png,Chelsea,Defender,22,0,0,0,0,4500000.0
2284,2023,Emerson,Emerson,Palmieri dos Santos,Italy,https://media.api-sports.io/football/players/2284.png,West Ham,Defender,28,36,3142,1,2,21800000.0
2289,2023,Jorginho,Jorge Luiz,Frello Filho,Italy,https://media.api-sports.io/football/players/2289.png,Arsenal,Midfielder,31,24,914,0,2,17200000.0
2291,2023,M. Kovačić,Mateo,Kovačić,Croatia,https://media.api-sports.io/football/players/2291.png,Manchester City,Midfielder,29,34,1581,1,0,30500000.0
2294,2023,Willian,Willian,Borges da Silva,Brazil,https://media.api-sports.io/football/players/2294.png,Fulham,Attacker,34,31,2061,4,2,11800000.0
2298,2023,C. Hudson-Odoi,Callum James,Hudson-Odoi,England,https://media.api-sports.io/football/players/2298.png,Chelsea,Attacker,22,0,0,0,1,4200000.0
2413,2023,Richarlison,Richarlison,de Andrade,Brazil,https://media.api-sports.io/football/players/2413.png,Tottenham,Attacker,26,29,1510,11,4,17400000.0
2467,2023,Lisandro Martínez,Lisandro,Martínez,Argentina,https://media.api-sports.io/football/players/2467.png,Manchester United,Defender,25,11,656,0,1,7700000.0
2473,2023,M. Lanzini,Manuel,Lanzini,Argentina,https://media.api-sports.io/football/players/2473.png,West Ham,Midfielder,30,0,0,0,0,1700000.0
2489,2023,L. Díaz,Luis Fernando,Díaz Marulanda,Colombia,https://media.api-sports.io/football/players/2489.png,Liverpool,Attacker,26,37,2663,8,5,34800000.0
2490,2023,J. Lerma,Jefferson Andrés,Lerma Solís,Colombia,https://media.api-sports.io/football/players/2490.png,Crystal Palace,Midfielder,28,28,2403,1,1,22600000.0
2507,2023,M. Almirón,Miguel Ángel,Almirón Rejala,Paraguay,https://media.api-sports.io/football/players/2507.png,Newcastle,Midfielder,29,33,1947,3,1,15900000.0
2549,2023,L. Vigouroux,Lawrence Ian,Vigouroux,Chile,https://media.api-sports.io/football/players/2549.png,Burnley,Goalkeeper,29,0,0,0,0,3300000.0
2597,2023,T. Tomiyasu,Takehiro,Tomiyasu,Japan,https://media.api-sports.io/football/players/2597.png,Arsenal,Defender,24,23,1143,2,1,12200000.0
2677,2023,João Moutinho,João Filipe,Iria Santos Moutinho,Portugal,https://media.api-sports.io/football/players/2677.png,Wolves,Midfielder,36,0,0,0,0,2300000.0
2678,2023,Diogo Jota,Diogo José,Teixeira da Silva,Portugal,https://media.api-sports.io/football/players/2678.png,Liverpool,Attacker,26,21,1150,10,3,20700000.0
2726,2023,K. Zouma,Kurt Happy,Zouma,France,https://media.api-sports.io/football/players/2726.png,West Ham,Defender,28,33,2840,3,0,11000000.0
2729,2023,J. Andersen,Joachim Christian,Andersen,Denmark,https://media.api-sports.io/football/players/2729.png,Crystal Palace,Defender,27,38,3418,2,3,23600000.0
2734,2023,P. Billing,Philip,Anyanwu Billing,Denmark,https://media.api-sports.io/football/players/2734.png,Bournemouth,Midfielder,27,29,1392,2,2,17200000.0
2735,2023,P. Højbjerg,Pierre-Emile Kordt,Højbjerg,Denmark,https://media.api-sports.io/football/players/2735.png,Tottenham,Midfielder,27,36,1287,0,0,30200000.0
2784,2023,R. Rúnarsson,Rúnar Alex,Rúnarsson,Iceland,https://media.api-sports.io/football/players/2784.png,Arsenal,Goalkeeper,28,0,0,0,0,3500000.0
2790,2023,J. Guðmunds­son,Jóhann Berg,Guðmunds­son,Iceland,https://media.api-sports.io/football/players/2790.png,Burnley,Attacker,32,26,1189,1,3,20100000.0
2806,2023,F. Schär,Fabian Lukas,Schär,Switzerland,https://media.api-sports.io/football/players/2806.png,Newcastle,Defender,31,36,3054,4,1,10500000.0
2823,2023,S. Lukić,Saša,Lukić,Serbia,https://media.api-sports.io/football/players/2823.png,Fulham,Midfielder,26,33,1134,1,0,9000000.0
2825,2023,A. Mitrović,Aleksandar,Mitrović,Serbia,https://media.api-sports.io/football/players/2825.png,Fulham,Attacker,28,1,32,0,0,9200000.0
